MT4_OBJECT_SYNC_FORMAT_v6
UTC_REF|1767607200|6876.10000
FXSSI.CALENDAR#news-country-0|21|1745427600|0|1.12865|0.00000|7509500|1|0|0|1|0|USD||7|0|7|0|0|0
FXSSI.CALENDAR#news-country-1|21|1745506800|0|1.12865|0.00000|7509500|1|0|0|1|0|USD||7|0|7|0|0|0
FXSSI.CALENDAR#news-country-2|21|1745514000|0|1.12865|0.00000|7509500|1|0|0|1|0|USD||7|0|7|0|0|0
FXSSI.CALENDAR#news-country-3|21|1744833600|0|1.12634|0.00000|13092807|1|0|0|1|0|USD||7|0|7|0|0|0
FXSSI.CALENDAR#news-country-4|21|1744902000|0|1.12660|0.00000|7509500|1|0|0|1|0|EUR.USD||7|0|7|0|0|0
FXSSI.CALENDAR#news-frame|24|0|0|0.00000|0.00000|8421504|1|0|0|0|0|BitmapLabel||10|-1
FXSSI.CALENDAR#news-line0|24|0|0|0.00000|0.00000|8421504|1|0|0|1|0|BitmapLabel||10|0
FXSSI.CALENDAR#news-line1|24|0|0|0.00000|0.00000|8421504|1|0|0|1|0|BitmapLabel||10|0
FXSSI.CALENDAR#news-line2|24|0|0|0.00000|0.00000|8421504|1|0|0|1|0|BitmapLabel||10|0
FXSSI.CALENDAR#news-line3|24|0|0|0.00000|0.00000|8421504|1|0|0|1|0|BitmapLabel||10|0
FXSSI.CALENDAR#news-line4|24|0|0|0.00000|0.00000|8421504|1|0|0|1|0|BitmapLabel||10|0
FXSSI.CALENDAR#news-next|24|0|0|0.00000|0.00000|8421504|1|0|0|0|0|BitmapLabel||10|-1
FXSSI.CALENDAR#news-prev|24|0|0|0.00000|0.00000|8421504|1|0|0|0|0|BitmapLabel||10|-1
FXSSI.CALENDAR#news-stars-0|21|1745427600|0|1.12873|0.00000|7509500|1|0|0|1|0|ллл||8|0|7|0|0|0
FXSSI.CALENDAR#news-stars-1|21|1745506800|0|1.12873|0.00000|7509500|1|0|0|1|0|ллл||8|0|7|0|0|0
FXSSI.CALENDAR#news-stars-2|21|1745514000|0|1.12873|0.00000|7509500|1|0|0|1|0|ллл||8|0|7|0|0|0
FXSSI.CALENDAR#news-stars-3|21|1744833600|0|1.12639|0.00000|13092807|1|0|0|1|0|ллл||8|0|7|0|0|0
FXSSI.CALENDAR#news-stars-4|21|1744902000|0|1.12639|0.00000|7509500|1|0|0|1|0|ллл||8|0|7|0|0|0
NormalTL_H_1029|2|1763659801|1763663401|6768.00000|6768.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1035|2|1763658003|1763661603|6768.00000|6768.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1040|2|1763656200|1763659800|6762.00000|6762.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1050|2|1763641800|1763645400|6726.00000|6726.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1055|2|1763614800|1763618400|6732.00000|6732.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1073|2|1763590502|1763594102|6660.00000|6660.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1084|2|1763586000|1763589600|6642.00000|6642.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1089|2|1763584202|1763587802|6648.00000|6648.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1104|2|1763577900|1763581500|6642.00000|6642.00000|25600|2|1|0|1|0|||0|0
NormalTL_H_1115|2|1763571600|1763575200|6684.00000|6684.00000|25600|2|1|0|1|0|||0|0
