MT4_OBJECT_SYNC_FORMAT_v6
UTC_REF|1764964800|1.16433
Rectangle 10007|16|1670332800|1670367600|1.05078|1.05133|15570276|1|0|0|1|0|||0|7
Rectangle 10015|16|1673347080|1673391600|1.07380|1.07421|15570276|1|0|0|1|0|||0|7
Rectangle 10085|16|1678686300|1678693500|1.06278|1.06246|0|1|2|0|0|0|||0|7
Rectangle 10091|16|1696413600|1696456800|1.04603|1.04541|15453831|1|0|0|1|0|||0|7
Rectangle 10094|16|1670930100|1670937300|1.05246|1.05222|0|1|2|0|0|0|||0|7
Rectangle 10117|16|1678678200|1678685400|1.07436|1.07404|0|1|2|0|0|0|||0|7
Rectangle 10121|16|1678704300|1678711500|1.07440|1.07412|0|1|2|0|0|0|||0|7
Rectangle 10132|16|1678734000|1678741200|1.07537|1.07511|0|1|2|0|0|0|||0|7
Rectangle 10143|16|1696419420|1696461300|1.04806|1.04835|15453831|1|0|0|1|0|||0|7
Rectangle 10184|16|1678784400|1678791600|1.07371|1.07345|0|1|2|0|0|0|||0|7
Rectangle 10292|16|1677673440|1677718320|1.06582|1.06623|15453831|1|0|0|1|0|||0|7
Rectangle 10398|16|1680694200|1680701400|1.09324|1.09296|0|1|2|0|0|0|||0|7
Rectangle 10453|16|1675248060|1675295220|1.08834|1.08882|15570276|1|0|0|1|0|||0|7
Rectangle 10549|16|1666858500|1666865700|1.00208|1.00180|0|1|2|0|0|0|||0|7
Rectangle 10579|16|1678742100|1678749300|1.06523|1.06491|0|1|2|0|0|0|||0|7
Rectangle 10587|16|1701783000|1701824400|1.08235|1.08267|15453831|1|0|0|1|0|||0|7
Rectangle 10592|16|1678767300|1678774500|1.06625|1.06594|0|1|2|0|0|0|||0|7
Rectangle 10596|16|1678792500|1678799700|1.06682|1.06650|0|1|2|0|0|0|||0|7
Rectangle 10600|16|1670923920|1670972400|1.05552|1.05594|15570276|1|0|0|1|0|||0|7
Rectangle 10633|16|1661432400|1661439600|0.99547|0.99502|0|1|2|0|0|0|||0|7
Rectangle 10682|16|1670898600|1670905800|1.05661|1.05637|0|1|2|0|0|0|||0|7
Rectangle 10687|16|1670923800|1670931000|1.05681|1.05657|0|1|2|0|0|0|||0|7
Rectangle 10699|16|1682072100|1682123400|1.09432|1.09493|15453831|1|0|0|1|0|||0|7
Rectangle 10720|16|1670879700|1670886900|1.05093|1.05069|0|1|2|0|0|0|||0|7
Rectangle 10727|16|1670904900|1670912100|1.05227|1.05204|0|1|2|0|0|0|||0|7
Rectangle 1074|16|1666788840|1666825200|1.00206|1.00259|2139610|1|0|0|1|0|||0|7
Rectangle 10849|16|1666005300|1666012500|0.97944|0.97916|0|1|2|0|0|0|||0|7
Rectangle 10859|16|1669018500|1669025700|1.02346|1.02310|0|1|2|0|0|0|||0|7
Rectangle 10865|16|1668990600|1668997800|1.03605|1.03570|0|1|2|0|0|0|||0|7
Rectangle 10871|16|1669084200|1669091400|1.02858|1.02822|0|1|2|0|0|0|||0|7
Rectangle 10877|16|1669028400|1669035600|1.03148|1.03113|0|1|2|0|0|0|||0|7
Rectangle 10983|16|1666273200|1666306800|0.97965|0.97853|36095|1|0|0|1|0|||0|7
Rectangle 10998|16|1668750360|1668772800|1.03756|1.03833|15570276|1|0|0|1|0|||0|7
Rectangle 11030|16|1663847040|1663887600|0.98991|0.99073|2139610|1|0|0|1|0|||0|7
Rectangle 11073|16|1669826700|1669833900|1.04096|1.04072|0|1|2|0|0|0|||0|7
Rectangle 11134|16|1663331400|1663338600|0.99434|0.99400|0|1|2|0|0|0|||0|7
Rectangle 11163|16|1666284300|1666291500|0.98499|0.98471|0|1|2|0|0|0|||0|7
Rectangle 11217|16|1668807900|1668815100|1.02912|1.02877|0|1|2|0|0|0|||0|7
Rectangle 1122|16|1667833380|1667864400|0.99907|0.99814|36095|1|0|0|1|0|||0|7
Rectangle 11228|16|1697796000|1697842800|1.05737|1.05716|15453831|1|0|0|1|0|||0|7
Rectangle 11271|16|1680692520|1680741900|1.09441|1.09464|15453831|1|0|0|1|0|||0|7
Rectangle 11311|16|1679511780|1679550300|1.07962|1.08000|15570276|1|0|0|1|0|||0|7
Rectangle 11343|16|1679507460|1679526000|1.07921|1.07984|15453831|1|0|0|1|0|||0|7
Rectangle 114|16|1674119820|1674170100|1.07852|1.07898|15570276|1|0|0|1|0|||0|7
Rectangle 11424|16|1759533300|1767023700|1.17452|1.17592|11119017|3|0|0|1|0|3.10.25||0|0
Rectangle 11428|16|1678789740|1678838400|1.06870|1.06825|15453831|1|0|0|1|0|||0|7
Rectangle 11506|16|1667388360|1667430000|0.98982|0.99046|2139610|1|0|0|1|0|||0|7
Rectangle 11530|16|1696421280|1696463340|1.04904|1.04958|15453831|1|0|0|1|0|||0|7
Rectangle 11541|16|1678785180|1678833900|1.07093|1.07122|15453831|1|0|0|1|0|||0|7
Rectangle 11606|16|1663586580|1663628400|0.99731|0.99698|36095|1|0|0|1|0|||0|7
Rectangle 11607|16|1666602600|1666652400|0.98559|0.98618|2139610|1|0|0|1|0|||0|7
Rectangle 11754|16|1671710700|1671750000|1.06484|1.06553|15453831|1|0|0|1|0|||0|7
Rectangle 11767|16|1670867100|1670874300|1.05155|1.05132|0|1|2|0|0|0|||0|7
Rectangle 11771|16|1669020600|1669071600|1.02685|1.02627|15570276|1|0|0|1|0|||0|7
Rectangle 11816|16|1672239600|1672246800|1.06774|1.06753|0|1|2|0|0|0|||0|7
Rectangle 11876|16|1666864800|1666911600|1.00605|1.00562|36095|1|0|0|1|0|||0|7
Rectangle 12171|16|1680615000|1680622200|1.08648|1.08620|0|1|2|0|0|0|||0|7
Rectangle 12247|16|1672235700|1672268400|1.06473|1.06520|15570276|1|0|0|1|0|||0|7
Rectangle 12284|16|1665751500|1665788400|0.97359|0.97195|2139610|1|0|0|1|0|||0|7
Rectangle 12353|16|1674659700|1674694920|1.08790|1.08774|15570276|1|0|0|1|0|||0|7
Rectangle 12421|16|1666799280|1666825200|1.00036|0.99956|2139610|1|0|0|1|0|||0|7
Rectangle 1245|16|1677666840|1677711600|1.06451|1.06478|15453831|1|0|0|1|0|||0|7
Rectangle 12468|16|1677677400|1677684600|1.06950|1.06931|0|1|2|0|0|0|||0|7
Rectangle 12501|16|1669024800|1669048200|1.02600|1.02553|15570276|1|0|0|1|0|||0|7
Rectangle 12522|16|1668697200|1668726000|1.03334|1.03204|15453831|1|0|0|1|0|||0|7
Rectangle 12665|16|1662987600|1662994800|1.02001|1.01955|0|1|2|0|0|0|||0|7
Rectangle 1267|16|1665722640|1665788400|0.97886|0.97951|2139610|1|0|0|1|0|||0|7
Rectangle 12679|16|1662999300|1663006500|1.00725|1.00680|0|1|2|0|0|0|||0|7
Rectangle 12730|16|1677675420|1677711600|1.06629|1.06678|15570276|1|0|0|1|0|||0|7
Rectangle 12889|16|1663584300|1663591500|1.00129|1.00099|0|1|2|0|0|0|||0|7
Rectangle 12958|16|1673838000|1673848800|1.08740|1.08704|11119017|1|0|0|1|0|||0|0
Rectangle 12968|16|1667403000|1667410200|0.99245|0.99218|0|1|2|0|0|0|||0|7
Rectangle 13013|16|1680138000|1680145200|1.08670|1.08654|0|1|2|0|0|0|||0|7
Rectangle 13019|16|1680100200|1680107400|1.08749|1.08733|0|1|2|0|0|0|||0|7
Rectangle 13102|16|1666274940|1666275420|0.98301|0.98290|16760576|1|0|0|1|0|||0|1
Rectangle 13104|16|1664445600|1664492400|0.96558|0.96672|2139610|1|0|0|1|0|||0|7
Rectangle 13156|16|1673838000|1673848800|1.08740|1.08704|11119017|1|0|0|1|0|||0|0
Rectangle 13228|16|1664964960|1665010800|0.99622|0.99550|2139610|1|0|0|1|0|||0|7
Rectangle 1328|16|1666264500|1666266300|0.97676|0.97661|36095|1|0|0|1|0|||0|3
Rectangle 13330|16|1673974800|1673982000|1.08725|1.08706|0|1|2|0|0|0|||0|7
Rectangle 13337|16|1673874000|1673881200|1.08673|1.08654|0|1|2|0|0|0|||0|7
Rectangle 13393|16|1679580300|1679612400|1.08769|1.08803|15570276|1|0|0|1|0|||0|7
Rectangle 13574|16|1691508120|1691554740|1.09398|1.09347|15453831|1|0|0|1|0|||0|7
Rectangle 13575|16|1665495000|1665502200|0.97455|0.97427|0|1|2|0|0|0|||0|7
Rectangle 13611|16|1676852100|1676859300|1.06431|1.06412|0|1|2|0|0|0|||0|7
Rectangle 13627|16|1674464700|1674514800|1.09140|1.09268|15570276|1|0|0|1|0|||0|7
Rectangle 13646|16|1676574900|1676582100|1.07096|1.07077|0|1|2|0|0|0|||0|7
Rectangle 13659|16|1676886300|1676893500|1.07092|1.07072|0|1|2|0|0|0|||0|7
Rectangle 13723|16|1665563400|1665570600|0.97503|0.97475|0|1|2|0|0|0|||0|7
Rectangle 13803|16|1671451200|1671458400|1.06637|1.06614|0|1|2|0|0|0|||0|7
Rectangle 13862|16|1671451020|1671490800|1.06239|1.06282|15453831|1|0|0|1|0|||0|7
Rectangle 139|16|1674120300|1674170580|1.08016|1.07924|15570276|1|0|0|1|0|||0|7
Rectangle 13927|16|1672828260|1672873200|1.06269|1.06354|15453831|1|0|0|1|0|||0|7
Rectangle 13956|16|1666596600|1666603800|0.98792|0.98764|0|1|2|0|0|0|||0|7
Rectangle 14221|16|1698231600|1698256800|1.05940|1.05857|15453831|1|0|0|1|0|||0|7
Rectangle 14258|16|1676044800|1676052000|1.07123|1.07104|0|1|2|0|0|0|||0|7
Rectangle 14288|16|1671454800|1671462000|1.05879|1.05857|0|1|2|0|0|0|||0|7
Rectangle 14370|16|1676318400|1676325600|1.07371|1.07351|0|1|2|0|0|0|||0|7
Rectangle 14372|16|1670861640|1670887800|1.05682|1.05718|15453831|1|0|0|1|0|||0|7
Rectangle 14378|16|1676313000|1676320200|1.06678|1.06658|0|1|2|0|0|0|||0|7
Rectangle 14385|16|1676338200|1676345400|1.06919|1.06900|0|1|2|0|0|0|||0|7
Rectangle 14433|16|1666341180|1666393200|0.97716|0.97672|2139610|1|0|0|1|0|||0|7
Rectangle 14497|16|1680695100|1680744480|1.09418|1.09437|15453831|1|0|0|1|0|||0|7
Rectangle 14597|16|1668749400|1668756600|1.04041|1.03991|0|1|2|0|0|0|||0|7
Rectangle 14603|16|1668770100|1668777300|1.03353|1.03319|0|1|2|0|0|0|||0|7
Rectangle 14616|16|1675252800|1675295400|1.08796|1.08868|15453831|1|0|0|1|0|||0|7
Rectangle 14746|16|1666605600|1666652400|0.98463|0.98531|2139610|1|0|0|1|0|||0|7
Rectangle 14818|16|1670927520|1670972400|1.05407|1.05381|15570276|1|0|0|1|0|||0|7
Rectangle 1485|16|1677630600|1677637800|1.05653|1.05634|0|1|2|0|0|0|||0|7
Rectangle 14886|16|1672785000|1672792200|1.06312|1.06291|0|1|2|0|0|0|||0|7
Rectangle 14907|16|1697536800|1697572800|1.05350|1.05370|15453831|1|0|0|1|0|||0|7
Rectangle 14916|16|1674726300|1674733500|1.08853|1.08834|0|1|2|0|0|0|||0|7
Rectangle 14928|16|1674688500|1674695700|1.09314|1.09295|0|1|2|0|0|0|||0|7
Rectangle 14931|16|1674713700|1674720900|1.09339|1.09320|0|1|2|0|0|0|||0|7
Rectangle 14952|16|1676616300|1676623500|1.06284|1.06265|0|1|2|0|0|0|||0|7
Rectangle 14974|16|1676565900|1676573100|1.06505|1.06485|0|1|2|0|0|0|||0|7
Rectangle 15114|16|1675776120|1675812600|1.07066|1.07011|15453831|1|0|0|1|0|||0|7
Rectangle 15124|16|1679311800|1679319000|1.06257|1.06223|0|1|2|0|0|0|||0|7
Rectangle 15130|16|1677153600|1677200220|1.05932|1.05890|15453831|1|0|0|1|0|||0|7
Rectangle 15213|16|1674454500|1674461700|1.08554|1.08535|0|1|2|0|0|0|||0|7
Rectangle 15216|16|1764370800|1767046500|1.15977|1.16076|16777215|3|0|0|1|0|28.11.25||0|0
Rectangle 15220|16|1674461700|1674468900|1.09300|1.09281|0|1|2|0|0|0|||0|7
Rectangle 15256|16|1673283120|1673305200|1.07323|1.07383|15570276|1|0|0|1|0|||0|7
Rectangle 15290|16|1666030500|1666037700|0.98010|0.97983|0|1|2|0|0|0|||0|7
Rectangle 15342|16|1669221900|1669246200|1.03302|1.03473|15570276|1|0|0|1|0|||0|7
Rectangle 15351|16|1672788600|1672795800|1.05360|1.05339|0|1|2|0|0|0|||0|7
Rectangle 15366|16|1672813800|1672821000|1.05480|1.05440|0|1|2|0|0|0|||0|7
Rectangle 15413|16|1672822800|1672830000|1.06545|1.06524|0|1|2|0|0|0|||0|7
Rectangle 15417|16|1668180600|1668187800|1.03691|1.03657|0|1|2|0|0|0|||0|7
Rectangle 15435|16|1665546300|1665553500|0.96768|0.96735|0|1|2|0|0|0|||0|7
Rectangle 15447|16|1671186180|1671186660|1.06245|1.06236|42495|1|0|0|1|0|||0|1
Rectangle 15465|16|1671189540|1671190020|1.06236|1.06228|42495|1|0|0|1|0|||0|1
Rectangle 15467|16|1671191220|1671191700|1.06228|1.06220|42495|1|0|0|1|0|||0|1
Rectangle 15477|16|1671185340|1671185820|1.06526|1.06517|42495|1|0|0|1|0|||0|1
Rectangle 15480|16|1671187860|1671188340|1.06617|1.06608|42495|1|0|0|1|0|||0|1
Rectangle 15491|16|1680170820|1680217200|1.08236|1.08309|15453831|1|0|0|1|0|||0|7
Rectangle 15601|16|1670928540|1670973600|1.05353|1.05315|15570276|1|0|0|1|0|||0|7
Rectangle 1561|16|1672149600|1672156800|1.06092|1.06071|0|1|2|0|0|0|||0|7
Rectangle 15625|16|1672239240|1672268400|1.06543|1.06577|15570276|1|0|0|1|0|||0|7
Rectangle 15660|16|1682334180|1682383500|1.09914|1.09945|15453831|1|0|0|1|0|||0|7
Rectangle 15712|16|1671467400|1671474600|1.05754|1.05730|0|1|2|0|0|0|||0|7
Rectangle 15756|16|1668438000|1668468600|1.03212|1.03356|15453831|1|0|0|1|0|||0|7
Rectangle 15913|16|1666088400|1666103400|0.98357|0.98457|2139610|1|0|0|1|0|||0|7
Rectangle 15927|16|1666279320|1666306800|0.98258|0.98330|36095|1|0|0|1|0|||0|7
Rectangle 15933|16|1681221300|1681254000|1.09215|1.09268|15453831|1|0|0|1|0|||0|7
Rectangle 15937|16|1675757700|1675764900|1.07572|1.07549|0|1|2|0|0|0|||0|7
Rectangle 15945|16|1675795500|1675802700|1.07742|1.07719|0|1|2|0|0|0|||0|7
Rectangle 15999|16|1671121020|1671145200|1.07366|1.07157|15570276|1|0|0|1|0|||0|7
Rectangle 16073|16|1671124980|1671145200|1.06515|1.06414|15570276|1|0|0|1|0|||0|7
Rectangle 16125|16|1663857000|1663864200|0.99078|0.99044|0|1|2|0|0|0|||0|7
Rectangle 16133|16|1666299600|1666306800|0.97625|0.97597|0|1|2|0|0|0|||0|7
Rectangle 16135|16|1666324800|1666332000|0.97601|0.97574|0|1|2|0|0|0|||0|7
Rectangle 16160|16|1663330500|1663369200|0.99708|0.99648|2139610|2|0|0|1|0|||0|7
Rectangle 16163|16|1666310400|1666317600|0.98106|0.98078|0|1|2|0|0|0|||0|7
Rectangle 1617|16|1673949600|1673996400|1.08288|1.08310|15570276|1|0|0|1|0|||0|7
Rectangle 16170|16|1666335600|1666342800|0.98038|0.98010|0|1|2|0|0|0|||0|7
