MT4_OBJECT_SYNC_FORMAT_v6
UTC_REF|1764961200|6859.80000
Label 39787|23|0|0|0.00000|0.00000|65535|1|0|0|0|0|Var.FTR||12|0|0|327|0|0
PriceLabel_2025.02.28 00:00_2|21|1740636000|0|5987.65000|0.00000|32768|1|0|0|0|0|1010||8|0|5|0|0|0
PriceLabel_2025.03.07 00:00_6|21|1741240800|0|5766.30000|0.00000|32768|1|0|0|0|0|1121||8|0|5|0|0|0
PriceLabel_2025.04.09 00:00_56|21|1744092000|0|-36.65000|0.00000|255|1|0|0|0|0|-3887||8|0|5|0|0|0
PriceLabel_2025.04.09 00:00_57|21|1744092000|0|-36.65000|0.00000|255|1|0|0|0|0|-5916||8|0|5|0|0|0
PriceLabel_2025.04.09 00:00_58|21|1744092000|0|-36.65000|0.00000|255|1|0|0|0|0|-2963||8|0|5|0|0|0
PriceLabel_2025.04.09 00:00_59|21|1744092000|0|-36.65000|0.00000|255|1|0|0|0|0|-4380||8|0|5|0|0|0
PriceLabel_2025.04.09 00:00_60|21|1744092000|0|-36.65000|0.00000|255|1|0|0|0|0|-4139||8|0|5|0|0|0
PriceLabel_2025.04.09 00:00_61|21|1744092000|0|-36.65000|0.00000|255|1|0|0|0|0|-3989||8|0|5|0|0|0
PriceLabel_2025.04.10 00:00_67|21|1744178400|0|-40.20000|0.00000|255|1|0|0|0|0|-3887||8|0|5|0|0|0
PriceLabel_2025.04.10 00:00_68|21|1744178400|0|-40.20000|0.00000|255|1|0|0|0|0|-5915||8|0|5|0|0|0
PriceLabel_2025.04.23 00:00_0|21|1745301600|0|5570.25000|0.00000|255|1|0|0|0|0|-1288||8|0|5|0|0|0
PriceLabel_2025.04.23 00:00_1|21|1745301600|0|5620.25000|0.00000|255|1|0|0|0|0|-1320||8|0|5|0|0|0
PriceLabel_2025.04.23 00:00_2|21|1745301600|0|5645.25000|0.00000|255|1|0|0|0|0|-1017||8|0|5|0|0|0
PriceLabel_2025.04.23 00:00_3|21|1745301600|0|6170.25000|0.00000|32768|1|0|0|0|0|1325||8|0|5|0|0|0
